"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Boris Palu",1119,"le 2 février 2020 contre l'Angleterre","le 9 février 2020 contre l'Italie",2,0,"https://fr.wikipedia.org//wiki/Boris_Palu"
"Arthur Vincent",1120,"le 2 février 2020 contre l'Angleterre","le 19 août 2023 contre les Fidji",16,5,"https://fr.wikipedia.org//wiki/Arthur_Vincent"
"Cameron Woki",1121,"le 2 février 2020 contre l'Angleterre","le 27 août 2023 contre l'Australie",22,10,"https://fr.wikipedia.org//wiki/Cameron_Woki"
"Dylan Cretin",1122,"le 22 février 2020 contre le pays de Galles","le 19 août 2023 contre les Fidji",22,5,"https://fr.wikipedia.org//wiki/Dylan_Cretin"
"Jean-Baptiste Gros",1123,"le 22 février 2020 contre le pays de Galles","le 27 août 2023 contre l'Australie",25,0,"https://fr.wikipedia.org//wiki/Jean-Baptiste_Gros_(rugby_%C3%A0_XV)"
"Arthur Retière",1124,"le 31 octobre 2020 contre l'Irlande","le 31 octobre 2020 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Arthur_Reti%C3%A8re"
"Jean-Pascal Barraque",1125,"le 28 novembre 2020 contre l'Italie","le 28 novembre 2020 contre l'Italie",1,0,"https://fr.wikipedia.org//wiki/Jean-Pascal_Barraque"
"Killian Geraci",1126,"le 28 novembre 2020 contre l'Italie","le 13 juillet 2021 contre l'Australie",4,0,"https://fr.wikipedia.org//wiki/Killian_Geraci"
"Rodrigue Neti",1127,"le 28 novembre 2020 contre l'Italie","le 6 décembre 2020 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Rodrigue_Neti"
"Baptiste Pesenti",1128,"le 28 novembre 2020 contre l'Italie","le 17 juillet 2021 contre l'Australie",4,0,"https://fr.wikipedia.org//wiki/Baptiste_Pesenti"
"Gabin Villière",1129,"le 28 novembre 2020 contre l'Italie","le 27 août 2023 contre l'Australie",14,35,"https://fr.wikipedia.org//wiki/Gabin_Villi%C3%A8re"
"Teddy Baubigny",1130,"le 28 novembre 2020 contre l'Italie","le 28 novembre 2020 contre l'Italie",1,0,"https://fr.wikipedia.org//wiki/Teddy_Baubigny"
"Louis Carbonel",1131,"le 28 novembre 2020 contre l'Italie","le 13 juillet 2021 contre l'Australie",5,16,"https://fr.wikipedia.org//wiki/Louis_Carbonel"
"Cyril Cazeaux",1132,"le 28 novembre 2020 contre l'Italie","le 13 juillet 2021 contre l'Australie",4,0,"https://fr.wikipedia.org//wiki/Cyril_Cazeaux"
